,Row Names,pclass,Name,Age,Embarked,Current Home Destination,Room,Ticket #,Boat #,Gender,Had Chronic Illness (Y/N),Birth Town,Birth Town,Survived (Y/N)
0,1,1st,"Allen, Miss Elisabeth Walton",29,Southampton,"St Louis, MO",B-5,24160 L221,2,female,N,SANTA MONICA,UNITED STATES,Y
1,2,1st,"Allison, Miss Helen Loraine",2,Southampton,"Montreal, PQ / Chesterville, ON",C26,,,female,Y,VANCOUVER,BRITISH COLUMBIA,N
2,3,1st,"Allison, Mr Hudson Joshua Creighton",30,Southampton,"Montreal, PQ / Chesterville, ON",C26,,-135,male,Y,LONDON,UNITED KINGDOM,N
3,4,1st,"Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)",25,Southampton,"Montreal, PQ / Chesterville, ON",C26,,,female,Y,BEIJING,CHINA,N
4,5,1st,"Allison, Master Hudson Trevor",0.9167,Southampton,"Montreal, PQ / Chesterville, ON",C22,,11,male,Y,,,Y
5,6,1st,"Anderson, Mr Harry",47,Southampton,"New York, NY",E-12,,3,male,N,,,Y
6,7,1st,"Andrews, Miss Kornelia Theodosia",63,Southampton,"Hudson, NY",D-7,13502 L77,10,female,Y,HONOLULU,HAWAII,Y
7,8,1st,"Andrews, Mr Thomas, jr",39,Southampton,"Belfast, NI",A-36,,,male,Y,LONDON,UNITED KINGDOM,N
8,9,1st,"Appleton, Mrs Edward Dale (Charlotte Lamson)",58,Southampton,"Bayside, Queens, NY",C-101,,2,female,Y,SANTA MONICA,UNITED STATES,Y
9,10,1st,"Artagaveytia, Mr Ramon",71,Cherbourg,"Montevideo, Uruguay",,,-22,male,N,LONDON,UNITED KINGDOM,N
10,11,1st,"Astor, Colonel John Jacob",47,Cherbourg,"New York, NY",,17754 L224 10s 6d,-124,male,N,RIO DE JANEIRO,BRAZIL,N
11,12,1st,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",19,Cherbourg,"New York, NY",,17754 L224 10s 6d,4,female,Y,CAPE TOWN,SOUTH AFRICA,Y
12,13,1st,"Aubert, Mrs Leontine Pauline",,Cherbourg,"Paris, France",B-35,17477 L69 6s,9,female,Y,EDINBURGH,SCOTLAND,Y
13,14,1st,"Barkworth, Mr Algernon H.",,Southampton,"Hessle, Yorks",A-23,,B,male,N,MONTREAL,CANADA,Y
14,15,1st,"Baumann, Mr John D.",,Southampton,"New York, NY",,,,male,N,VANCOUVER,BRITISH COLUMBIA,N
15,16,1st,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",50,Cherbourg,"Montreal, PQ",B-58/60,,6,female,Y,RIO DE JANEIRO,BRAZIL,Y
16,17,1st,"Baxter, Mr Quigg Edmond",24,Cherbourg,"Montreal, PQ",B-58/60,,,male,N,MONTREAL,CANADA,N
17,18,1st,"Beattie, Mr Thomson",36,Cherbourg,"Winnipeg, MN",C-6,,,male,N,ISTANBUL,TURKEY,N
18,19,1st,"Beckwith, Mr Richard Leonard",37,Southampton,"New York, NY",D-35,,5,male,Y,ISTANBUL,TURKEY,Y
19,20,1st,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",47,Southampton,"New York, NY",D-35,,5,female,N,VANCOUVER,BRITISH COLUMBIA,Y
20,21,1st,"Behr, Mr Karl Howell",26,Cherbourg,"New York, NY",C-148,,5,male,N,HONOLULU,HAWAII,Y
21,22,1st,"Birnbaum, Mr Jakob",25,Cherbourg,"San Francisco, CA",,,-148,male,Y,HONG KONG,CHINA,N
22,23,1st,"Bishop, Mr Dickinson H.",25,Cherbourg,"Dowagiac, MI",B-49,,7,male,Y,TEL AVIV,ISRAEL,Y
23,24,1st,"Bishop, Mrs Dickinson H. (Helen Walton)",19,Cherbourg,"Dowagiac, MI",B-49,,7,female,Y,RIO DE JANEIRO,BRAZIL,Y
24,25,1st,"Bjornstrm-Steffansson, Mr Mauritz Hakan",28,Southampton,"Stockholm, Sweden / Washington, DC",,,D,male,N,RIO DE JANEIRO,BRAZIL,Y
25,26,1st,"Blackwell, Mr Stephen Weart",45,Southampton,"Trenton, NJ",,,-241,male,N,BEIJING,CHINA,N
26,27,1st,"Blank, Mr Henry",39,Cherbourg,"Glen Ridge, NJ",A-31,,7,male,Y,CAPE TOWN,SOUTH AFRICA,Y
27,28,1st,"Bonnell, Miss Caroline",30,Southampton,"Youngstown, OH",C-7,,8,female,N,KUALA LUMPUR,MALAYSIA,Y
28,29,1st,"Bonnell, Miss Elizabeth",58,Southampton,"Birkdale, England Cleveland, Ohio",C-103,,8,female,N,NEW YORK,UNITED STATES,Y
29,30,1st,"Borebank, Mr John James",,Southampton,"London / Winnipeg, MB",D-21/2,,,male,N,LONDON,UNITED KINGDOM,N
30,31,1st,"Bowen, Miss Grace Scott",45,Cherbourg,"Cooperstown, NY",,,4,female,Y,SYDNEY,AUSTRALIA,Y
31,32,1st,"Bowerman, Miss Elsie Edith",22,Southampton,"St Leonards-on-Sea, England Ohio",,,6,female,N,,,Y
32,33,1st,"Bradley, Mr George",,Southampton,"Los Angeles, CA",,,15,male,N,BARCELONA,SPAIN,Y
33,34,1st,"Brady, Mr John Bertram",41,Southampton,"Pomeroy, WA",,,,male,N,BEIJING,CHINA,N
34,35,1st,"Brandeis, Mr Emil",48,Cherbourg,"Omaha, NE",,17591 L50 9s 11d,-208,male,N,CHICAGO,UNITED STATES,N
35,36,1st,"Brewe, Dr Arthur Jackson",,Cherbourg,"Philadelphia, PA",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
36,37,1st,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",44,Cherbourg,"Denver, CO",,17610 L27 15s 5d,6,female,N,CHICAGO,UNITED STATES,Y
37,38,1st,"Brown, Mrs John Murray (Caroline Lane Lamson)",59,Southampton,"Belmont, MA",C-101,,D,female,Y,RIO DE JANEIRO,BRAZIL,Y
38,39,1st,"Bucknell, Mrs William Robert (Emma Eliza Ward)",60,Cherbourg,"Philadelphia, PA",,,8,female,Y,ISTANBUL,TURKEY,Y
39,40,1st,"Butt, Major Archibald Willingham",45,Southampton,"Washington, DC",,,,male,N,,,N
40,41,1st,"Calderhead, Mr Edward P.",,Southampton,"New York, NY",,,07-May,male,N,,,Y
41,42,1st,"Candee, Mrs Edward (Helen Churchill Hungerford)",53,Cherbourg,"Washington, DC",,,6,female,Y,MIAMI BEACH,FLORIDA,Y
42,43,1st,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",58,Cherbourg,"Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,female,Y,HONOLULU,HAWAII,Y
43,44,1st,"Cardeza, Mr Thomas Drake Martinez",36,Cherbourg,"Austria-Hungary / Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,male,N,MIAMI BEACH,FLORIDA,Y
44,45,1st,"Carlsson, Mr Frans Olof",33,Southampton,"New York, NY",,,,male,Y,,,N
45,46,1st,"Carrau, Mr Francisco M.",,Southampton,"Montevideo, Uruguay",,,,male,Y,TEL AVIV,ISRAEL,N
46,47,1st,"Carrau, Mr Jose Pedro",,Southampton,"Montevideo, Uruguay",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
47,48,1st,"Carter, Mr William Ernest",36,Southampton,"Bryn Mawr, PA",,,C,male,Y,HONOLULU,HAWAII,Y
48,49,1st,"Carter, Mrs William Ernest (Lucile Polk)",36,Southampton,"Bryn Mawr, PA",,,4,female,Y,MIAMI BEACH,FLORIDA,Y
49,50,1st,"Carter, Miss Lucile Polk",14,Southampton,"Bryn Mawr, PA",,,4,female,N,HONOLULU,HAWAII,Y
50,51,1st,"Carter, Master William T. II",11,Southampton,"Bryn Mawr, PA",,,4,male,Y,SANTA MONICA,UNITED STATES,Y
51,52,1st,"Case, Mr Howard Brown",49,Southampton,"Ascot, Berkshire / Rochester, NY",,,,male,N,KUALA LUMPUR,MALAYSIA,N
52,53,1st,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",,Cherbourg,"New York, NY",,,5,female,Y,RIO DE JANEIRO,BRAZIL,Y
53,54,1st,"Cavendish, Mr Tyrell William",36,Southampton,"Little Onn Hall, Staffs",,,-172,male,N,MONTREAL,CANADA,N
54,55,1st,"Cavendish, Mrs Tyrell William Julia Florence Siegel",,Southampton,"Little Onn Hall, Staffs",,,6,female,Y,SANTA MONICA,UNITED STATES,Y
55,56,1st,"Chaffee, Mr Herbert Fuller",46,Southampton,"Amenia, ND",,,,male,N,RIO DE JANEIRO,BRAZIL,N
56,57,1st,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",47,Southampton,"Amenia, ND",,,,female,N,BEIJING,CHINA,Y
57,58,1st,"Chambers, Mr Norman Campbell",27,Southampton,"New York, NY / Ithaca, NY",,,5,male,Y,BARCELONA,SPAIN,Y
58,59,1st,"Chambers, Mrs Norman Campbell (Bertha Griggs)",31,Southampton,"New York, NY / Ithaca, NY",,,5,female,Y,CHICAGO,UNITED STATES,Y
59,60,1st,"Cherry, Miss Gladys",,Southampton,"London, England",,,8,female,N,NICE,FRANCE,Y
60,61,1st,"Chevre, Mr Paul",,Cherbourg,"Paris, France",,,7,male,N,,,Y
61,62,1st,"Chibnall (Bowerman), Mrs Edith Martha",,Southampton,"St Leonards-on-Sea, England Ohio",,,6,female,N,EDINBURGH,SCOTLAND,Y
62,63,1st,"Chisholm, Mr Roderick Robert",,,"Liverpool, England / Belfast",,,,male,N,,,N
63,64,1st,"Clark, Mr Walter Miller",27,Cherbourg,"Los Angeles, CA",C-87,,,male,N,CAPE TOWN,SOUTH AFRICA,N
64,65,1st,"Clark, Mrs Walter Miller (Virginia McDowell)",26,Cherbourg,"Los Angeles, CA",C-87,,4,female,Y,EDINBURGH,SCOTLAND,Y
65,66,1st,"Clifford, Mr George Quincy",,Southampton,"Stoughton, MA",,,,male,N,VANCOUVER,BRITISH COLUMBIA,N
66,67,1st,"Colley, Mr Edward Pomeroy",,Southampton,"Victoria, BC",,,,male,N,HONG KONG,CHINA,N
67,68,1st,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",64,Cherbourg,"Lakewood, NJ",,,14,female,Y,,,Y
68,69,1st,"Compton, Mr Alexander Taylor, Jr",37,Cherbourg,"Lakewood, NJ",,,,male,N,NEW YORK,UNITED STATES,N
69,70,1st,"Compton, Miss Sara Rebecca",39,Cherbourg,"Lakewood, NJ",,,14,female,Y,,,Y
70,71,1st,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",55,Southampton,"New York, NY",C-101,,2,female,Y,LONDON,UNITED KINGDOM,Y
71,72,1st,"Crafton, Mr John Bertram",,Southampton,"Roachdale, IN",,,,male,N,ISTANBUL,TURKEY,N
72,73,1st,"Crosby, Captain Edward Gifford",70,Southampton,"Milwaukee, WI",,,-269,male,Y,HONOLULU,HAWAII,N
73,74,1st,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",69,Southampton,"Milwaukee, WI",,,5,female,N,KUALA LUMPUR,MALAYSIA,Y
74,75,1st,"Crosby, Miss Harriet R.",36,Southampton,"Milwaukee, WI",,,5,female,N,TEL AVIV,ISRAEL,Y
75,76,1st,"Cumings, Mr John Bradley",39,Cherbourg,"New York, NY",C-85,,,male,N,MONTREAL,CANADA,N
76,77,1st,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",38,Cherbourg,"New York, NY",C-85,,4,female,N,SANTA MONICA,UNITED STATES,Y
77,78,1st,"Daly, Mr Peter Denis ",,Southampton,"Lima, Peru",,,A,male,N,CAPE TOWN,SOUTH AFRICA,Y
78,79,1st,"Daniel, Mr Robert Williams",27,Southampton,"Philadelphia, PA",,,7,male,Y,CAPE TOWN,SOUTH AFRICA,Y
79,80,1st,"Davidson, Mr Thornton",31,Southampton,"Montreal, PQ",,,,male,Y,ISTANBUL,TURKEY,N
80,81,1st,"Davidson, Mrs Thornton (Orian Hays)",27,Southampton,"Montreal, PQ",,,3,female,N,MIAMI BEACH,FLORIDA,Y
81,82,1st,"de Villiers, Madame Berthe",,Cherbourg,"Belgium  Montreal, PQ",,,6,female,N,NICE,FRANCE,Y
82,83,1st,"Dick, Mr Albert Adrian",31,Cherbourg,"Calgary, AB",,,3,male,Y,VANCOUVER,BRITISH COLUMBIA,Y
83,84,1st,"Dick, Mrs Albert Adrian Vera Gillespie",17,Cherbourg,"Calgary, AB",,,3,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
84,85,1st,"Dodge, Dr. Washington",,Southampton,"San Francisco, CA",,,13,male,Y,,,Y
85,86,1st,"Dodge, Mrs Washington (Ruth Vidaver)",,Southampton,"San Francisco, CA",,,07-May,female,N,NICE,FRANCE,Y
86,87,1st,"Dodge, Master Washington",4,Southampton,"San Francisco, CA",,,07-May,male,Y,VANCOUVER,BRITISH COLUMBIA,Y
87,88,1st,"Douglas, Mrs Frederick Charles (Suzette Baxter)",27,Cherbourg,"Montreal, PQ",,,6,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
88,89,1st,"Douglas, Mr Walter Donald",50,Cherbourg,"Deephaven, MN / Cedar Rapids, IA",,,-62,male,N,BEIJING,CHINA,N
89,90,1st,"Douglas, Mrs Walter Donald (Mahala Dutton)",48,Cherbourg,"Deephaven, MN / Cedar Rapids, IA",,,2,female,N,MONTREAL,CANADA,Y
90,91,1st,"Duff Gordon, Sir Cosmo Edmund",49,Cherbourg,London / Paris,,11755 L39 12s,1,male,Y,RIO DE JANEIRO,BRAZIL,Y
